age_band,month,healthcare_cost
0-18,2049-03-01,1352.0264332695797
0-18,2149-12-01,94000.30364606321
0-18,2118-05-01,24868.514778226476
0-18,2049-02-01,1347.291252750503
0-18,2150-01-01,94330.67646315336
0-18,2080-10-01,5110.514093753527
0-18,2049-01-01,1342.5726561783054
0-18,2049-05-01,1361.5467794965207
0-18,2117-09-01,24180.22344247424
0-18,2147-10-01,85805.13025043669
0-18,2079-01-01,4747.5227066324405
0-18,2145-06-01,77776.76377613295
0-18,2121-10-01,28715.82088842133
0-18,2077-05-01,4425.814458122956
0-18,2053-08-01,1628.3242026212392
0-18,2145-07-01,78050.11745219794
0-18,2121-09-01,28615.24992892366
0-18,2077-06-01,4441.369395008626
0-18,2053-07-01,1622.6213488505869
0-18,2145-08-01,78324.43185520232
0-18,2121-08-01,28515.031197486365
0-18,2053-06-01,1616.9384680933413
0-18,2145-09-01,78599.7103617104
0-18,2077-07-01,4456.9790011679
0-18,2053-05-01,1611.2754903983373
0-18,2145-10-01,78875.95636015356
0-18,2121-07-01,28415.163460506796
0-18,2077-08-01,4472.643468741024
0-18,2053-04-01,1605.6323460593992
0-18,2145-11-01,79153.17325087235
0-18,2121-06-01,28315.645488702663
0-18,2077-09-01,4488.362990543545
0-18,2053-03-01,1600.0089656144817
0-18,2145-12-01,79431.3644461581
0-18,2121-05-01,28216.476057096977
0-18,2053-02-01,1594.405279844815
0-18,2146-01-01,79710.53337029477
0-18,2077-10-01,4504.137760068678
0-18,2053-01-01,1588.821219774054
0-18,2146-02-01,79990.68345960148
0-18,2053-09-01,1634.0470996023134
0-18,2121-04-01,28117.653945003025
0-18,2077-04-01,4410.313999043563
0-18,2053-10-01,1639.7901102375374
0-18,2122-05-01,29429.784527552147
0-18,2054-06-01,1686.4668222213547
0-18,2144-09-01,75359.26209176453
0-18,2076-10-01,4318.444640526058
0-18,2054-05-01,1680.5603364854658
0-18,2144-10-01,75624.11923312902
0-18,2122-04-01,29326.713064638156
0-18,2076-11-01,4333.622216193371
0-18,2054-04-01,1674.6745369399532
0-18,2144-11-01,75889.90723957082
0-18,2122-03-01,29224.00258725762
0-18,2076-12-01,4348.853134863157
0-18,2054-03-01,1668.8093511359043
0-18,2144-12-01,76156.62938270191
0-18,2122-02-01,29121.651831136678
0-18,2054-02-01,1662.964706878142
0-18,2145-01-01,76424.28894563256
0-18,2077-01-01,4364.137584014363
0-18,2054-01-01,1657.1405322243381
0-18,2145-02-01,76692.88922301197
0-18,2122-01-01,29019.659536429353
0-18,2077-02-01,4379.475751784849
0-18,2053-12-01,1651.3367554841268
0-18,2145-03-01,76962.43352106865
0-18,2121-12-01,28918.024447701966
0-18,2077-03-01,4394.867826973702
0-18,2053-11-01,1645.5533052182216
0-18,2145-04-01,77232.92515765109
0-18,2121-11-01,28816.74531391771
0-18,2145-05-01,77504.36746226874
0-18,2077-11-01,4519.967971489686
0-18,2052-12-01,1583.2567166674278
0-18,2146-03-01,80271.8181624746
0-18,2147-01-01,83138.08630521742
0-18,2078-07-01,4648.629098218119
0-18,2052-01-01,1523.3185232733022
0-18,2147-02-01,83430.28284836434
0-18,2120-07-01,27243.685005279764
0-18,2078-08-01,4664.967137896888
0-18,2051-12-01,1517.98342921134
0-18,2147-03-01,83723.506343461
0-18,2120-06-01,27148.269883703415
0-18,2078-09-01,4681.362599136916
0-18,2051-11-01,1512.6670201638478
0-18,2147-04-01,84017.76039982557
0-18,2120-05-01,27053.188932978886
0-18,2051-10-01,1507.3692306905994
0-18,2147-05-01,84313.04863946157
0-18,2078-10-01,4697.815683751631
0-18,2051-09-01,1502.0899955805571
0-18,2147-06-01,84609.37469710244
0-18,2120-04-01,26958.440982744996
0-18,2078-11-01,4714.326594263743
0-18,2051-08-01,1496.8292498510725
0-18,2147-07-01,84906.74222025607
0-18,2120-03-01,26864.024866739433
0-18,2078-12-01,4730.895533907749
0-18,2051-07-01,1491.5869287470846
0-18,2147-08-01,85205.15486924998
0-18,2120-02-01,26769.939422784486
0-18,2051-06-01,1486.3629677403221
0-18,2147-09-01,85504.61631727628
0-18,2052-02-01,1528.672368019957
0-18,2120-08-01,27339.43547218252
0-18,2146-12-01,82846.91311734289
0-18,2052-03-01,1534.0450293523315
0-18,2121-03-01,28019.177936009226
0-18,2077-12-01,4535.853819662272
0-18,2052-11-01,1577.7117020308933
0-18,2146-04-01,80553.94093943007
0-18,2121-02-01,27921.04681796422
0-18,2052-10-01,1572.1861076102948
0-18,2146-05-01,80837.05526314629
0-18,2078-01-01,4551.79550012698
0-18,2052-09-01,1566.679865390521
0-18,2146-06-01,81121.16461850666
0-18,2121-01-01,27823.25938296199
0-18,2078-02-01,4567.793209111597
0-18,2052-08-01,1561.1929075946687
0-18,2146-07-01,81406.27250264245
0-18,2051-05-01,1481.1573025285104
0-18,2120-12-01,27725.81442732691
0-18,2052-07-01,1555.7251666832092
0-18,2146-08-01,81692.38242497602
0-18,2120-11-01,27628.710751598956
0-18,2052-06-01,1550.2765753531557
0-18,2146-09-01,81979.49790726393
0-18,2078-04-01,4599.9575010024355
0-18,2052-05-01,1544.8470665372363
0-18,2146-10-01,82267.62248364015
0-18,2120-10-01,27531.947160519016
0-18,2078-05-01,4616.124479822242
0-18,2052-04-01,1539.4365734030673
0-18,2146-11-01,82556.75970065987
0-18,2120-09-01,27435.522463014055
0-18,2078-06-01,4632.348278993997
0-18,2078-03-01,4583.8471435335705
0-18,2081-06-01,5255.98514700242
0-18,2048-03-01,1296.28612969279
0-18,2150-12-01,98042.31670284392
0-18,2154-12-01,116024.79202630109
0-18,2114-08-01,21236.53667933882
0-18,2044-02-01,1091.5407357896697
0-18,2155-01-01,116432.57195793156
0-18,2084-07-01,5984.539625450882
0-18,2044-01-01,1087.7178501561468
0-18,2155-02-01,116841.78507008954
0-18,2114-07-01,21162.16029711567
0-18,2084-08-01,6005.572847029533
0-18,2043-12-01,1083.908353353739
0-18,2155-03-01,117252.43639982126
0-18,2114-06-01,21088.044402104548
0-18,2084-09-01,6026.6799918232755
0-18,2043-11-01,1080.1121984909576
0-18,2155-04-01,117664.53100187653
0-18,2114-05-01,21014.18808200524
0-18,2043-10-01,1076.3293388405414
0-18,2155-05-01,118078.07394877016
0-18,2084-10-01,6047.861319642136
0-18,2043-09-01,1072.5597278388814
0-18,2155-06-01,118493.07033084473
0-18,2114-04-01,20940.590427712723
0-18,2084-11-01,6069.117091209259
0-18,2043-08-01,1068.8033190854464
0-18,2155-07-01,118909.52525633377
0-18,2114-03-01,20867.250533305873
0-18,2084-12-01,6090.447568164125
0-18,2043-07-01,1065.0600663422151
0-18,2155-08-01,119327.44385142376
0-18,2044-03-01,1095.3770573106017
0-18,2114-02-01,20794.167496036353
0-18,2084-06-01,5963.580068187236
0-18,2154-11-01,115618.44025579307
0-18,2044-12-01,1130.5164125479496
0-18,2154-03-01,112418.44333635787
0-18,2115-03-01,21764.542306238025
0-18,2083-12-01,5839.355290665509
0-18,2044-11-01,1126.5570230260687
0-18,2154-04-01,112813.5484198241
0-18,2115-02-01,21688.316698365918
0-18,2044-10-01,1122.6115004106848
0-18,2154-05-01,113210.04213688415
0-18,2084-01-01,5859.878248385215
0-18,2044-09-01,1118.6797961359532
0-18,2154-06-01,113607.92936801988
0-18,2115-01-01,21612.358054219214
0-18,2084-02-01,5880.473335950185
0-18,2044-08-01,1114.7618618061206
0-18,2154-07-01,114007.21501086652
0-18,2114-12-01,21536.66543881512
0-18,2084-03-01,5901.1408068674755
0-18,2044-07-01,1110.8576491949304
0-18,2154-08-01,114407.90398027208
0-18,2114-11-01,21461.23792044542
0-18,2044-06-01,1106.9671102450263
0-18,2154-09-01,114810.0012083582
0-18,2084-04-01,5921.8809155351155
0-18,2044-05-01,1103.0901970673638
0-18,2154-10-01,115213.51164458139
0-18,2114-10-01,21386.07457066504
0-18,2084-05-01,5942.693917245242
0-18,2044-04-01,1099.226861940619
0-18,2114-09-01,21311.174464280553
0-18,2043-06-01,1061.3299235331028
0-18,2155-09-01,119746.83126031759
0-18,2085-01-01,6111.853013065778
0-18,2113-06-01,20218.642763283362
0-18,2085-09-01,6285.827231471676
0-18,2042-07-01,1021.1505909321335
0-18,2156-08-01,124458.52393703496
0-18,2113-05-01,20147.831334616723
0-18,2042-06-01,1017.5742315753624
0-18,2156-09-01,124895.94500451125
0-18,2085-10-01,6307.9193563867475
0-18,2042-05-01,1014.0103976446767
0-18,2156-10-01,125334.9034290462
0-18,2113-04-01,20077.267907682384
0-18,2085-11-01,6330.089126131256
0-18,2042-04-01,1010.4590452724773
0-18,2156-11-01,125775.40461382421
0-18,2113-03-01,20006.951613907837
0-18,2085-12-01,6352.336813595182
0-18,2042-03-01,1006.9201307448018
0-18,2156-12-01,126217.4539810196
0-18,2113-02-01,19936.881587762568
0-18,2042-02-01,1003.3936105007865
0-18,2157-01-01,126661.05697186386
0-18,2086-01-01,6374.662692627607
0-18,2042-01-01,999.8794411321304
0-18,2157-02-01,127106.2190467118
0-18,2113-01-01,19867.05696674742
0-18,2086-02-01,6397.0670380400725
0-18,2041-12-01,996.3775793825604
0-18,2157-03-01,127552.94568510914
0-18,2112-12-01,19797.476891383936
0-18,2156-07-01,124022.63484235613
0-18,2042-08-01,1024.7395197367657
0-18,2085-08-01,6263.812479451802
0-18,2113-07-01,20289.703065307454
0-18,2043-05-01,1057.6128447433975
0-18,2155-10-01,120167.69264529838
0-18,2114-01-01,20721.34041631756
0-18,2085-02-01,6133.333689396043
0-18,2043-04-01,1053.9087842191936
0-18,2155-11-01,120590.03318679216
0-18,2113-12-01,20648.768397713444
0-18,2085-03-01,6154.889861562776
0-18,2043-03-01,1050.217696366828
0-18,2155-12-01,121013.85808343203
0-18,2113-11-01,20576.450546927535
0-18,2043-02-01,1046.53953575232
0-18,2156-01-01,121439.17255212262
0-18,2085-04-01,6176.521794903126
0-18,2083-11-01,5818.90421017187
0-18,2043-01-01,1042.874257100812
0-18,2113-10-01,20504.385973791985
0-18,2085-05-01,6198.229755686788
0-18,2042-12-01,1039.2218152960106
0-18,2156-03-01,122294.29116501356
0-18,2113-09-01,20432.573791256527
0-18,2085-06-01,6220.014011119286
0-18,2042-11-01,1035.5821653796334
0-18,2156-04-01,122724.1058349572
0-18,2113-08-01,20361.013115377587
0-18,2042-10-01,1031.9552625508547
0-18,2156-05-01,123155.43112856726
0-18,2085-07-01,6241.87482934527
0-18,2042-09-01,1028.341062165754
0-18,2156-06-01,123588.27235507105
0-18,2156-02-01,121865.98182810338
0-18,2115-04-01,21841.03581610437
0-18,2154-02-01,112024.7220230964
0-18,2045-01-01,1134.489717712861
0-18,2117-01-01,23510.982096924316
0-18,2082-02-01,5405.597041455373
0-18,2047-04-01,1247.2119347642554
0-18,2151-11-01,101899.9992883059
0-18,2116-12-01,23428.639960949586
0-18,2082-03-01,5424.595515432266
0-18,2047-03-01,1242.8438443842665
0-18,2151-12-01,102258.13632106621
0-18,2116-11-01,23346.586210518624
0-18,2047-02-01,1238.4910522972427
0-18,2152-01-01,102617.53205976491
0-18,2082-04-01,5443.660761314407
0-18,2047-01-01,1234.1535049242177
0-18,2152-02-01,102978.19092824134
0-18,2116-10-01,23264.81983562339
0-18,2082-05-01,5462.793013777871
0-18,2046-12-01,1229.831148873874
0-18,2152-03-01,103340.11736588248
0-18,2116-09-01,23183.339829793134
0-18,2082-06-01,5481.992508323523
0-18,2046-11-01,1225.5239309418855
0-18,2152-04-01,103703.31582767841
0-18,2116-08-01,23102.145190082054
0-18,2046-10-01,1221.2317981102628
0-18,2152-05-01,104067.79078427627
0-18,2082-07-01,5501.259481279923
0-18,2046-09-01,1216.9546975467003
0-18,2152-06-01,104433.54672203578
0-18,2116-07-01,23021.234917056983
0-18,2151-10-01,101543.11655313849
0-18,2047-05-01,1251.595377204484
0-18,2082-01-01,5386.66510552955
0-18,2151-09-01,101187.48372265755
0-18,2117-08-01,24095.537433255577
0-18,2048-02-01,1291.746167546024
0-18,2151-01-01,98386.89555106896
0-18,2081-07-01,5274.457796049783
0-18,2048-01-01,1287.2221056359592
0-18,2151-02-01,98732.68545373087
0-18,2117-07-01,24011.148018490432
0-18,2081-08-01,5292.9953689417325
0-18,2047-12-01,1282.7138882754507
0-18,2151-03-01,99079.69066719324
0-18,2117-06-01,23927.05415942078
0-18,2081-09-01,5311.59809385916
0-18,2047-11-01,1278.2214599723866
0-18,2151-04-01,99427.91546277891
0-18,2082-08-01,5520.594169806226
0-18,2117-05-01,23843.25482092663
0-18,2151-05-01,99777.36412682284
0-18,2081-10-01,5330.266199784928
0-18,2047-09-01,1269.2837495412084
0-18,2151-06-01,100128.04096072468
0-18,2117-04-01,23759.74897151332
0-18,2081-11-01,5348.999916506676
0-18,2047-08-01,1264.8383573978952
0-18,2151-07-01,100479.95028100164
0-18,2117-03-01,23676.535583298722
0-18,2081-12-01,5367.799474619649
0-18,2047-07-01,1260.4085342802748
0-18,2151-08-01,100833.09641934183
0-18,2117-02-01,23593.61363200066
0-18,2047-06-01,1255.9942256611978
0-18,2047-10-01,1273.744765429004
0-18,2144-08-01,75095.33255532342
0-18,2046-08-01,1212.6925766039265
0-18,2116-06-01,22940.608014785026
0-18,2083-04-01,5677.738174050927
0-18,2045-09-01,1166.783027369799
0-18,2153-06-01,108924.1892310833
0-18,2115-10-01,22305.675777203636
0-18,2131-12-01,44056.673720360435
0-18,2045-08-01,1162.6966218637838
0-18,2153-07-01,109307.01343323734
0-18,2115-09-01,22227.554966244617
0-18,2083-06-01,5717.718186181434
0-18,2045-07-01,1158.6245281103122
0-18,2153-08-01,109691.18310668465
0-18,2115-08-01,22149.707756550386
0-18,2045-06-01,1154.5666959855623
0-18,2153-09-01,110076.70298020921
0-18,2083-07-01,5737.81363897496
0-18,2045-05-01,1150.5230755412601
0-18,2153-10-01,110463.57779921514
0-18,2115-07-01,22072.133189891647
0-18,2083-08-01,5757.979719107893
0-18,2045-04-01,1146.4936170040655
0-18,2153-11-01,110851.81232578435
0-18,2115-06-01,21994.83031139504
0-18,2083-09-01,5778.216674806592
0-18,2045-03-01,1142.4782707749575
0-18,2153-12-01,111241.41133873546
0-18,2115-05-01,21917.798169531463
0-18,2045-02-01,1138.4769874286255
0-18,2154-01-01,111632.37963368319
0-18,2083-10-01,5798.524755169834
0-18,2153-05-01,108542.70578800014
0-18,2045-10-01,1170.883794928344
0-18,2115-11-01,22384.07115102457
0-18,2153-04-01,108162.55840826855
0-18,2082-09-01,5539.996811895104
0-18,2046-07-01,1208.4453828190556
0-18,2152-08-01,105168.9195653736
0-18,2116-05-01,22860.26349082132
0-18,2046-06-01,1204.2130639129414
0-18,2152-09-01,105538.54552273174
0-18,2082-10-01,5559.46764637568
0-18,2046-05-01,1199.9955677895343
0-18,2152-10-01,105909.47056492344
0-18,2116-04-01,22780.200356196856
0-18,2082-11-01,5579.006912916462
0-18,2046-04-01,1195.7928425352402
0-18,2152-11-01,106281.69925770312
0-18,2116-03-01,22700.41762540626
0-18,2152-07-01,104800.5881430847
0-18,2082-12-01,5598.614852028293
0-18,2152-12-01,106655.23618287199
0-18,2116-02-01,22620.91431639565
0-18,2046-02-01,1187.4314978880564
0-18,2153-01-01,107030.0859383348
0-18,2083-01-01,5618.29170506732
0-18,2046-01-01,1183.2727755745138
0-18,2153-02-01,107406.2531381557
0-18,2116-01-01,22541.68945055064
0-18,2083-02-01,5638.037714237953
0-18,2045-12-01,1179.1286182875112
0-18,2153-03-01,107783.74241261541
0-18,2115-12-01,22462.742052684167
0-18,2083-03-01,5657.853122595853
0-18,2045-11-01,1174.9989750161894
0-18,2046-03-01,1191.6048364182805
0-18,2086-03-01,6419.550125609975
0-18,2054-07-01,1692.3940668511623
0-18,2122-06-01,29533.21824471687
0-18,2063-03-01,2437.6171710903423
0-18,2135-12-01,52137.3482153462
0-18,2128-11-01,38693.23911162174
0-18,2070-04-01,3284.5762769618264
0-18,2063-02-01,2429.0799435203157
0-18,2136-01-01,52320.589778802954
0-18,2128-10-01,38557.7244001096
0-18,2063-01-01,2420.5726157456493
0-18,2136-02-01,52504.475361791345
0-18,2070-05-01,3296.120226028771
0-18,2062-12-01,2412.0950830487686
0-18,2136-03-01,52689.007227777984
0-18,2128-09-01,38422.68429960077
0-18,2070-06-01,3307.7047473792677
0-18,2062-11-01,2403.6472410788515
0-18,2136-04-01,52874.18764818457
0-18,2128-08-01,38288.11714787272
0-18,2070-07-01,3319.3299836083847
0-18,2062-10-01,2395.2289858505383
0-18,2136-05-01,53060.018902416
0-18,2128-07-01,38154.02128852456
0-18,2062-09-01,2386.8402137426588
0-18,2136-06-01,53246.50327788839
0-18,2070-08-01,3330.996077812353
0-18,2062-08-01,2378.4808214969535
0-18,2136-07-01,53433.643070057056
0-18,2128-06-01,38020.39507095649
0-18,2070-09-01,3342.703173590328
0-18,2062-07-01,2370.1507062168
0-18,2070-03-01,3273.0727580827765
0-18,2136-08-01,53621.44058244503
0-18,2128-12-01,38829.230102201764
0-18,2063-04-01,2446.1844035413433
0-18,2069-08-01,3193.6683392256505
0-18,2063-12-01,2515.815171619866
0-18,2135-03-01,50516.785453286655
0-18,2129-06-01,39655.27205900762
0-18,2069-09-01,3204.8927838833442
0-18,2063-11-01,2507.004072445242
0-18,2135-04-01,50694.331398067654
0-18,2129-05-01,39516.388034914664
0-18,2069-10-01,3216.1566778966044
0-18,2063-10-01,2498.2238322421113
0-18,2135-05-01,50872.50134459828
0-18,2129-04-01,39377.99042211453
0-18,2063-09-01,2489.474342933593
0-18,2135-06-01,51051.29748599079
0-18,2069-11-01,3227.4601599138628
0-18,2063-08-01,2480.755496821322
0-18,2135-07-01,51230.72202306526
0-18,2129-03-01,39240.07751705671
0-18,2069-12-01,3238.8033690708435
0-18,2063-07-01,2472.067186584122
0-18,2135-08-01,51410.777164376836
0-18,2129-02-01,39102.64762215701
0-18,2070-01-01,3250.186444992278
0-18,2063-06-01,2463.409305276688
0-18,2135-09-01,51591.46512624283
0-18,2129-01-01,38965.69904577675
0-18,2063-05-01,2454.781746328266
0-18,2135-10-01,51772.788132769936
0-18,2070-02-01,3261.609527793622
0-18,2135-11-01,51954.74841588176
0-18,2128-05-01,37887.23685034963
0-18,2070-10-01,3354.4514150461578
0-18,2062-06-01,2361.849765365952
0-18,2061-08-01,2280.422647648086
0-18,2137-07-01,55731.28972206951
0-18,2127-09-01,36838.62348955012
0-18,2071-06-01,3449.9360515165754
0-18,2061-07-01,2272.435959939406
0-18,2137-08-01,55927.16252749016
0-18,2127-08-01,36709.604168621976
0-18,2061-06-01,2264.477243879149
0-18,2137-09-01,56123.72374611813
0-18,2071-07-01,3462.061172903545
0-18,2061-05-01,2256.546401502659
0-18,2137-10-01,56320.97579744564
0-18,2127-07-01,36581.036709994776
0-18,2071-08-01,3474.228909158284
0-18,2061-04-01,2248.6433351883793
0-18,2137-11-01,56518.921109468545
0-18,2127-06-01,36452.9195311184
0-18,2071-09-01,3486.4394100547115
0-18,2061-03-01,2240.767947656653
0-18,2137-12-01,56717.562118716145
0-18,2127-05-01,36325.251054985274
0-18,2061-02-01,2232.9201419685232
0-18,2138-01-01,56916.901270281014
0-18,2071-10-01,3498.6928258931425
0-18,2061-01-01,2225.0998215245404
0-18,2138-02-01,57116.94101784934
0-18,2127-04-01,36198.029710111
0-18,2071-11-01,3510.989307502135
0-18,2060-12-01,2217.306890063574
0-18,2071-05-01,3437.853395748008
0-18,2127-10-01,36968.096260891274
0-18,2137-06-01,55536.10291883759
0-18,2061-09-01,2288.4374053141505
0-18,2136-09-01,53809.898126671265
0-18,2128-04-01,37754.544987645764
0-18,2062-05-01,2353.577896767273
0-18,2136-10-01,53999.018022479046
0-18,2070-11-01,3366.2409467901584
0-18,2062-04-01,2345.33499860148
0-18,2136-11-01,54188.80259776467
0-18,2128-03-01,37622.31784952704
0-18,2070-12-01,3378.0719139408893
0-18,2062-03-01,2337.120969405889
0-18,2136-12-01,54379.25418860609
0-18,2128-02-01,37490.55380839599
0-18,2071-01-01,3389.9444621269463
0-18,2062-02-01,2328.9357080731697
0-18,2135-02-01,50339.86132482392
0-18,2137-01-01,54570.375139291486
0-18,2062-01-01,2320.7791138500957
0-18,2137-02-01,54762.16780234837
0-18,2071-02-01,3401.8587374887475
0-18,2061-12-01,2312.651086336308
0-18,2137-03-01,54954.63453857243
0-18,2127-12-01,37228.40853518865
0-18,2071-03-01,3413.814886680336
0-18,2061-11-01,2304.5515254830793
0-18,2137-04-01,55147.777717056495
0-18,2099-07-01,11253.701029360616
0-18,2127-11-01,37098.024076339156
0-18,2061-10-01,2296.480331592079
0-18,2137-05-01,55341.59971521988
0-18,2071-04-01,3425.813056871185
0-18,2128-01-01,37359.25124235547
0-18,2138-03-01,57317.683823731044
0-18,2064-01-01,2524.657238222712
0-18,2135-01-01,50163.55683490217
0-18,2066-05-01,2785.2604382838
0-18,2132-10-01,45629.80664858551
0-18,2067-11-01,2966.827344524712
0-18,2066-04-01,2775.5056652679923
0-18,2132-11-01,45790.176851457756
0-18,2131-03-01,42687.27908685261
0-18,2067-12-01,2977.254535391257
0-18,2066-03-01,2765.7850562374556
0-18,2132-12-01,45951.110690335925
0-18,2131-02-01,42537.77611311588
0-18,2068-01-01,2987.7183735907083
0-18,2066-02-01,2756.0984915402128
0-18,2133-01-01,46112.61014617118
0-18,2131-01-01,42388.79674124919
0-18,2066-01-01,2746.4458519433388
0-18,2133-02-01,46274.677206876986
0-18,2068-02-01,2998.2189879235284
0-18,2065-12-01,2736.827018631499
0-18,2133-03-01,46437.31386735353
0-18,2130-12-01,42240.339137450086
0-18,2068-03-01,3008.756507642859
0-18,2065-11-01,2727.2418732054834
0-18,2133-04-01,46600.522129512145
0-18,2130-11-01,42092.401474338585
0-18,2068-04-01,3019.3310624561195
0-18,2065-10-01,2717.6902976807482
0-18,2133-05-01,46764.30400230022
0-18,2130-10-01,41944.98193093482
0-18,2065-09-01,2708.172174485966
0-18,2131-04-01,42837.30750270686
0-18,2133-06-01,46928.6615017257
0-18,2132-09-01,45469.9981077058
0-18,2067-10-01,2956.436672641704
0-18,2131-11-01,43902.37473773515
0-18,2067-04-01,2894.8524088745153
0-18,2067-02-01,2874.6107266764416
0-18,2132-01-01,44211.515001122905
0-18,2131-10-01,43748.61615396501
0-18,2067-01-01,2864.5430235769018
0-18,2132-02-01,44366.90048597986
0-18,2067-05-01,2905.026637130003
0-18,2066-12-01,2854.5105804326536
0-18,2132-03-01,44522.832087587274
0-18,2131-09-01,43595.396076419755
0-18,2067-06-01,2915.2366236577514
0-18,2066-11-01,2844.513273753319
0-18,2132-04-01,44679.311725323256
0-18,2131-08-01,43442.71261909762
0-18,2067-07-01,2925.482494133539
0-18,2066-10-01,2834.55098048102
0-18,2132-05-01,44836.34132531181
0-18,2131-07-01,43290.56390260224
0-18,2066-09-01,2824.623577988862
0-18,2132-06-01,44993.922820446496
0-18,2067-08-01,2935.764374674841
0-18,2066-08-01,2814.7309440794256
0-18,2132-07-01,45152.05815041414
0-18,2131-06-01,43138.94805411938
